INSERT INTO MedicalEquipment VALUES (1, 'X-Ray', 947555.05);
INSERT INTO MedicalEquipment VALUES (2, 'Forceps', 1131312.59);
INSERT INTO MedicalEquipment VALUES (3, 'Wheelchair', 1585808.03);
INSERT INTO MedicalEquipment VALUES (4, 'Pacemaker', 796384.27);
INSERT INTO MedicalEquipment VALUES (5, 'Defibrillator', 536474.92);
INSERT INTO MedicalEquipment VALUES (6, 'X-Ray', 844965.93);
INSERT INTO MedicalEquipment VALUES (7, 'Wheelchair', 1103185.15);
INSERT INTO MedicalEquipment VALUES (8, 'Hospital Bed', 630319.22);
INSERT INTO MedicalEquipment VALUES (9, 'Stethoscope', 1139536.48);
INSERT INTO MedicalEquipment VALUES (10, 'Heart Rate Monitor', 1843900.07);
INSERT INTO MedicalEquipment VALUES (11, 'Wheelchair', 885919.37);
INSERT INTO MedicalEquipment VALUES (12, 'Wheelchair', 896846.84);
INSERT INTO MedicalEquipment VALUES (13, 'Scalpel', 1538717.06);
INSERT INTO MedicalEquipment VALUES (14, 'Lift', 32683.43);
INSERT INTO MedicalEquipment VALUES (15, 'Wheelchair', 690375.04);
INSERT INTO MedicalEquipment VALUES (16, 'Forceps', 80558.99);
INSERT INTO MedicalEquipment VALUES (17, 'Stethoscope', 40099.99);
INSERT INTO MedicalEquipment VALUES (18, 'Pacemaker', 256022.2);
INSERT INTO MedicalEquipment VALUES (19, 'Hospital Bed', 1411808.44);
INSERT INTO MedicalEquipment VALUES (20, 'Surgical Table', 413869.21);
INSERT INTO MedicalEquipment VALUES (21, 'Hospital Bed', 561793.95);
INSERT INTO MedicalEquipment VALUES (22, 'Defibrillator', 791479.07);
INSERT INTO MedicalEquipment VALUES (23, 'Stethoscope', 488809.11);
INSERT INTO MedicalEquipment VALUES (24, 'Scalpel', 1476195.55);
INSERT INTO MedicalEquipment VALUES (25, 'Lift', 1978581.87);
INSERT INTO MedicalEquipment VALUES (26, 'Lift', 792691.45);
INSERT INTO MedicalEquipment VALUES (27, 'X-Ray', 1445769.22);
INSERT INTO MedicalEquipment VALUES (28, 'Scalpel', 1521045.62);
INSERT INTO MedicalEquipment VALUES (29, 'Pacemaker', 1355128.41);
INSERT INTO MedicalEquipment VALUES (30, 'Forceps', 593833.88);
INSERT INTO MedicalEquipment VALUES (31, 'MRI Machine', 1701700.2);
INSERT INTO MedicalEquipment VALUES (32, 'Stethoscope', 1722711.43);
INSERT INTO MedicalEquipment VALUES (33, 'Pacemaker', 328599.01);
INSERT INTO MedicalEquipment VALUES (34, 'Pacemaker', 1614306.98);
INSERT INTO MedicalEquipment VALUES (35, 'Forceps', 928011.54);
INSERT INTO MedicalEquipment VALUES (36, 'Pacemaker', 146029.58);
INSERT INTO MedicalEquipment VALUES (37, 'X-Ray', 91185.02);
INSERT INTO MedicalEquipment VALUES (38, 'Scalpel', 1495768.01);
INSERT INTO MedicalEquipment VALUES (39, 'Stethoscope', 962133.87);
INSERT INTO MedicalEquipment VALUES (40, 'Pacemaker', 914556.43);
INSERT INTO MedicalEquipment VALUES (41, 'Forceps', 173497.45);
INSERT INTO MedicalEquipment VALUES (42, 'Wheelchair', 1057649.03);
INSERT INTO MedicalEquipment VALUES (43, 'Pacemaker', 1565406.71);
INSERT INTO MedicalEquipment VALUES (44, 'Hospital Bed', 1791948.98);
INSERT INTO MedicalEquipment VALUES (45, 'Scalpel', 1544975.91);
INSERT INTO MedicalEquipment VALUES (46, 'Defibrillator', 676835.61);
INSERT INTO MedicalEquipment VALUES (47, 'Defibrillator', 159162.81);
INSERT INTO MedicalEquipment VALUES (48, 'Wheelchair', 186331.22);
INSERT INTO MedicalEquipment VALUES (49, 'Stethoscope', 1425072.71);
INSERT INTO MedicalEquipment VALUES (50, 'Pacemaker', 775402.9);
INSERT INTO MedicalEquipment VALUES (51, 'Heart Rate Monitor', 81323.49);
INSERT INTO MedicalEquipment VALUES (52, 'Forceps', 1451559.44);
INSERT INTO MedicalEquipment VALUES (53, 'Hospital Bed', 1636698.97);
INSERT INTO MedicalEquipment VALUES (54, 'Heart Rate Monitor', 243927.62);
INSERT INTO MedicalEquipment VALUES (55, 'Stethoscope', 878073.81);
INSERT INTO MedicalEquipment VALUES (56, 'Lift', 283783.51);
INSERT INTO MedicalEquipment VALUES (57, 'MRI Machine', 337976.45);
INSERT INTO MedicalEquipment VALUES (58, 'X-Ray', 1832211.75);
INSERT INTO MedicalEquipment VALUES (59, 'Stethoscope', 1675513.04);
INSERT INTO MedicalEquipment VALUES (60, 'Stethoscope', 1993228.64);
INSERT INTO MedicalEquipment VALUES (61, 'Defibrillator', 529610.83);
INSERT INTO MedicalEquipment VALUES (62, 'Wheelchair', 808468.38);
INSERT INTO MedicalEquipment VALUES (63, 'X-Ray', 774274.14);
INSERT INTO MedicalEquipment VALUES (64, 'Pacemaker', 1487397.94);
INSERT INTO MedicalEquipment VALUES (65, 'Scalpel', 1865500.31);
INSERT INTO MedicalEquipment VALUES (66, 'Hospital Bed', 514732.92);
INSERT INTO MedicalEquipment VALUES (67, 'Surgical Table', 1266976.67);
INSERT INTO MedicalEquipment VALUES (68, 'MRI Machine', 1905020.4);
INSERT INTO MedicalEquipment VALUES (69, 'Forceps', 980712.44);
INSERT INTO MedicalEquipment VALUES (70, 'Pacemaker', 1843669.04);
INSERT INTO MedicalEquipment VALUES (71, 'Wheelchair', 1700618.32);
INSERT INTO MedicalEquipment VALUES (72, 'Pacemaker', 21634.94);
INSERT INTO MedicalEquipment VALUES (73, 'Lift', 1804101.24);
INSERT INTO MedicalEquipment VALUES (74, 'Lift', 1112647.54);
INSERT INTO MedicalEquipment VALUES (75, 'Forceps', 586725.99);
INSERT INTO MedicalEquipment VALUES (76, 'Heart Rate Monitor', 1777221.52);
INSERT INTO MedicalEquipment VALUES (77, 'Stethoscope', 1139100.02);
INSERT INTO MedicalEquipment VALUES (78, 'Wheelchair', 330074.51);
INSERT INTO MedicalEquipment VALUES (79, 'Forceps', 1909872.01);
INSERT INTO MedicalEquipment VALUES (80, 'Scalpel', 581650.06);
INSERT INTO MedicalEquipment VALUES (81, 'Stethoscope', 168909.89);
INSERT INTO MedicalEquipment VALUES (82, 'Hospital Bed', 1430647.97);
INSERT INTO MedicalEquipment VALUES (83, 'Defibrillator', 1693718.6);
INSERT INTO MedicalEquipment VALUES (84, 'Scalpel', 1407529.93);
INSERT INTO MedicalEquipment VALUES (85, 'MRI Machine', 1486308.89);
INSERT INTO MedicalEquipment VALUES (86, 'Forceps', 1696515.96);
INSERT INTO MedicalEquipment VALUES (87, 'Surgical Table', 1151184.69);
INSERT INTO MedicalEquipment VALUES (88, 'Defibrillator', 1112499.39);
INSERT INTO MedicalEquipment VALUES (89, 'X-Ray', 1747736.01);
INSERT INTO MedicalEquipment VALUES (90, 'Hospital Bed', 1286702.27);
INSERT INTO MedicalEquipment VALUES (91, 'Surgical Table', 1983028.9);
INSERT INTO MedicalEquipment VALUES (92, 'Pacemaker', 1910997.48);
INSERT INTO MedicalEquipment VALUES (93, 'Forceps', 115253.28);
INSERT INTO MedicalEquipment VALUES (94, 'Stethoscope', 1566356.51);
INSERT INTO MedicalEquipment VALUES (95, 'Heart Rate Monitor', 1981717.11);
INSERT INTO MedicalEquipment VALUES (96, 'Surgical Table', 471112.01);
INSERT INTO MedicalEquipment VALUES (97, 'Surgical Table', 279061.8);
INSERT INTO MedicalEquipment VALUES (98, 'Scalpel', 756071.11);
INSERT INTO MedicalEquipment VALUES (99, 'Defibrillator', 256087.92);
INSERT INTO MedicalEquipment VALUES (100, 'Lift', 1718095.72);
INSERT INTO MedicalEquipment VALUES (101, 'Wheelchair', 1041839.76);
INSERT INTO MedicalEquipment VALUES (102, 'Lift', 1313691.4);
INSERT INTO MedicalEquipment VALUES (103, 'Heart Rate Monitor', 1114045.6);
INSERT INTO MedicalEquipment VALUES (104, 'MRI Machine', 105284.72);
INSERT INTO MedicalEquipment VALUES (105, 'Pacemaker', 1196588.4);
INSERT INTO MedicalEquipment VALUES (106, 'Stethoscope', 1418225.98);
INSERT INTO MedicalEquipment VALUES (107, 'Lift', 1923901.02);
INSERT INTO MedicalEquipment VALUES (108, 'Forceps', 1842948.02);
INSERT INTO MedicalEquipment VALUES (109, 'Wheelchair', 746306.5);
INSERT INTO MedicalEquipment VALUES (110, 'Stethoscope', 940140.56);
INSERT INTO MedicalEquipment VALUES (111, 'Forceps', 1118139.18);
INSERT INTO MedicalEquipment VALUES (112, 'Lift', 1382431.18);
INSERT INTO MedicalEquipment VALUES (113, 'Heart Rate Monitor', 389775.49);
INSERT INTO MedicalEquipment VALUES (114, 'Pacemaker', 364993.89);
INSERT INTO MedicalEquipment VALUES (115, 'Forceps', 1914627.49);
INSERT INTO MedicalEquipment VALUES (116, 'Hospital Bed', 305546.51);
INSERT INTO MedicalEquipment VALUES (117, 'Wheelchair', 637217.06);
INSERT INTO MedicalEquipment VALUES (118, 'Hospital Bed', 1278444.96);
INSERT INTO MedicalEquipment VALUES (119, 'Hospital Bed', 1300281.25);
INSERT INTO MedicalEquipment VALUES (120, 'Scalpel', 700789.95);
INSERT INTO MedicalEquipment VALUES (121, 'Forceps', 921589.28);
INSERT INTO MedicalEquipment VALUES (122, 'Lift', 1226527.48);
INSERT INTO MedicalEquipment VALUES (123, 'Pacemaker', 353080.89);
INSERT INTO MedicalEquipment VALUES (124, 'Pacemaker', 89546.93);
INSERT INTO MedicalEquipment VALUES (125, 'Scalpel', 1635610.59);
INSERT INTO MedicalEquipment VALUES (126, 'X-Ray', 31454.59);
INSERT INTO MedicalEquipment VALUES (127, 'Stethoscope', 1077582.44);
INSERT INTO MedicalEquipment VALUES (128, 'Pacemaker', 1014973.18);
INSERT INTO MedicalEquipment VALUES (129, 'Surgical Table', 152149.67);
INSERT INTO MedicalEquipment VALUES (130, 'MRI Machine', 974975.95);
INSERT INTO MedicalEquipment VALUES (131, 'Forceps', 584984.58);
INSERT INTO MedicalEquipment VALUES (132, 'Defibrillator', 1519909.83);
INSERT INTO MedicalEquipment VALUES (133, 'Defibrillator', 1573586.48);
INSERT INTO MedicalEquipment VALUES (134, 'Hospital Bed', 653369.66);
INSERT INTO MedicalEquipment VALUES (135, 'Lift', 1669105.83);
INSERT INTO MedicalEquipment VALUES (136, 'Hospital Bed', 910611.52);
INSERT INTO MedicalEquipment VALUES (137, 'Hospital Bed', 210940.75);
INSERT INTO MedicalEquipment VALUES (138, 'Heart Rate Monitor', 1761205.95);
INSERT INTO MedicalEquipment VALUES (139, 'Defibrillator', 1615690.98);
INSERT INTO MedicalEquipment VALUES (140, 'Surgical Table', 442132.05);
INSERT INTO MedicalEquipment VALUES (141, 'Scalpel', 602376.49);
INSERT INTO MedicalEquipment VALUES (142, 'Scalpel', 1582672.08);
INSERT INTO MedicalEquipment VALUES (143, 'Surgical Table', 424201.05);
INSERT INTO MedicalEquipment VALUES (144, 'Wheelchair', 858926.17);
INSERT INTO MedicalEquipment VALUES (145, 'Pacemaker', 1264925.99);
INSERT INTO MedicalEquipment VALUES (146, 'Defibrillator', 1544696.92);
INSERT INTO MedicalEquipment VALUES (147, 'Heart Rate Monitor', 1532848.37);
INSERT INTO MedicalEquipment VALUES (148, 'Heart Rate Monitor', 85485.59);
INSERT INTO MedicalEquipment VALUES (149, 'Heart Rate Monitor', 305931.45);
INSERT INTO MedicalEquipment VALUES (150, 'Pacemaker', 1832759.79);
INSERT INTO MedicalEquipment VALUES (151, 'MRI Machine', 607219.02);
INSERT INTO MedicalEquipment VALUES (152, 'Stethoscope', 785333.72);
