INSERT INTO Room VALUES (1, 'B2', 133.29);
INSERT INTO Room VALUES (2, 'D2', 189.73);
INSERT INTO Room VALUES (3, 'D2', 255.75);
INSERT INTO Room VALUES (4, 'C2', 175.87);
INSERT INTO Room VALUES (5, 'E2', 260.41);
INSERT INTO Room VALUES (6, 'B1', 138.47);
INSERT INTO Room VALUES (7, 'B1', 127.97);
INSERT INTO Room VALUES (8, 'D1', 219.65);
INSERT INTO Room VALUES (9, 'A2', 226.94);
INSERT INTO Room VALUES (10, 'D1', 159.14);
INSERT INTO Room VALUES (11, 'B1', 133.57);
INSERT INTO Room VALUES (12, 'C1', 131.61);
INSERT INTO Room VALUES (13, 'D2', 190.04);
INSERT INTO Room VALUES (14, 'A1', 193.54);
INSERT INTO Room VALUES (15, 'A2', 222.03);
INSERT INTO Room VALUES (16, 'D1', 224.66);
INSERT INTO Room VALUES (17, 'E2', 214.63);
INSERT INTO Room VALUES (18, 'B1', 289.49);
INSERT INTO Room VALUES (19, 'E2', 198.4);
INSERT INTO Room VALUES (20, 'D1', 130.14);
INSERT INTO Room VALUES (21, 'E2', 161.71);
INSERT INTO Room VALUES (22, 'B2', 292.14);
INSERT INTO Room VALUES (23, 'C1', 273.33);
INSERT INTO Room VALUES (24, 'B2', 114.93);
INSERT INTO Room VALUES (25, 'C2', 263.61);
INSERT INTO Room VALUES (26, 'E2', 153.6);
INSERT INTO Room VALUES (27, 'A2', 120.98);
INSERT INTO Room VALUES (28, 'C2', 179.68);
INSERT INTO Room VALUES (29, 'C2', 263.29);
INSERT INTO Room VALUES (30, 'E2', 207.92);
INSERT INTO Room VALUES (31, 'B2', 143.24);
INSERT INTO Room VALUES (32, 'A1', 160.14);
INSERT INTO Room VALUES (33, 'B2', 151.48);
INSERT INTO Room VALUES (34, 'A2', 285.19);
INSERT INTO Room VALUES (35, 'B1', 248.22);
INSERT INTO Room VALUES (36, 'B2', 158.63);
INSERT INTO Room VALUES (37, 'B2', 247.85);
INSERT INTO Room VALUES (38, 'E1', 271.34);
INSERT INTO Room VALUES (39, 'A1', 116.84);
INSERT INTO Room VALUES (40, 'C1', 243.68);
INSERT INTO Room VALUES (41, 'B2', 241.66);
INSERT INTO Room VALUES (42, 'B2', 259.82);
INSERT INTO Room VALUES (43, 'B1', 253.24);
INSERT INTO Room VALUES (44, 'B1', 273.43);
INSERT INTO Room VALUES (45, 'A2', 232.19);
INSERT INTO Room VALUES (46, 'D2', 186.65);
INSERT INTO Room VALUES (47, 'C1', 293.39);
INSERT INTO Room VALUES (48, 'E1', 121.68);
INSERT INTO Room VALUES (49, 'C2', 191.11);
INSERT INTO Room VALUES (50, 'B1', 191.95);
INSERT INTO Room VALUES (51, 'B1', 280.42);
INSERT INTO Room VALUES (52, 'C2', 115.84);
INSERT INTO Room VALUES (53, 'E1', 206.14);
INSERT INTO Room VALUES (54, 'D2', 109.45);
INSERT INTO Room VALUES (55, 'C1', 106.44);
INSERT INTO Room VALUES (56, 'C1', 131.72);
INSERT INTO Room VALUES (57, 'B2', 159.85);
INSERT INTO Room VALUES (58, 'C1', 249.29);
INSERT INTO Room VALUES (59, 'D1', 267.36);
INSERT INTO Room VALUES (60, 'D2', 132.74);
INSERT INTO Room VALUES (61, 'B1', 147.15);
INSERT INTO Room VALUES (62, 'B1', 210.39);
INSERT INTO Room VALUES (63, 'C1', 280.67);
INSERT INTO Room VALUES (64, 'C1', 189.64);
INSERT INTO Room VALUES (65, 'C1', 141.77);
INSERT INTO Room VALUES (66, 'C1', 234.91);
INSERT INTO Room VALUES (67, 'C2', 175.84);
INSERT INTO Room VALUES (68, 'D2', 171.85);
INSERT INTO Room VALUES (69, 'B1', 184.69);
INSERT INTO Room VALUES (70, 'C1', 200.92);
INSERT INTO Room VALUES (71, 'E2', 182.48);
INSERT INTO Room VALUES (72, 'E1', 162.49);
INSERT INTO Room VALUES (73, 'E2', 286.23);
INSERT INTO Room VALUES (74, 'A1', 138.05);
INSERT INTO Room VALUES (75, 'E2', 113.87);
INSERT INTO Room VALUES (76, 'A2', 216.67);
INSERT INTO Room VALUES (77, 'D2', 108.99);
INSERT INTO Room VALUES (78, 'E1', 146.9);
INSERT INTO Room VALUES (79, 'D2', 171.44);
INSERT INTO Room VALUES (80, 'B1', 156.21);
INSERT INTO Room VALUES (81, 'A1', 130.05);
INSERT INTO Room VALUES (82, 'D1', 204.42);
INSERT INTO Room VALUES (83, 'A1', 180.68);
INSERT INTO Room VALUES (84, 'B1', 273.81);
INSERT INTO Room VALUES (85, 'B1', 168.66);
INSERT INTO Room VALUES (86, 'D1', 145.69);
INSERT INTO Room VALUES (87, 'D1', 209.45);
INSERT INTO Room VALUES (88, 'B2', 105.98);
INSERT INTO Room VALUES (89, 'D1', 109.47);
INSERT INTO Room VALUES (90, 'D2', 126.62);
INSERT INTO Room VALUES (91, 'D1', 116.95);
INSERT INTO Room VALUES (92, 'A1', 226.06);
INSERT INTO Room VALUES (93, 'C1', 151.76);
INSERT INTO Room VALUES (94, 'B1', 292.71);
INSERT INTO Room VALUES (95, 'E1', 234.9);
INSERT INTO Room VALUES (96, 'E1', 107.84);
INSERT INTO Room VALUES (97, 'C1', 171.37);
INSERT INTO Room VALUES (98, 'A1', 205.72);
INSERT INTO Room VALUES (99, 'D1', 292.01);
INSERT INTO Room VALUES (100, 'D1', 114.53);
